"id","order_id","parent_lineitem_id","lineitem_type","product_id","product_name","quantity","unit_price","line_total","line_gross","tax_total","discount_total","is_void","line_timestamp","line_order","source_line_id"
"li_b3d5dbc63d8f54c3f7603f5cc93983ac15e699aa0477fe6bd9e619226e51a275","ord_c8cd58c5ea1c6d64c371fe1a166a53a0a7df5c7d8edba649ad23b5ce051672ab",,"PROD",,,"1.0000000000","5.600000","5.6000000000","7.0000000000","1.4000000000",,"False","2026-03-25T13:21:31.0000000","1","LI00379229"
"li_bffc6854dd216899ff5c2d9f9655a12fbf29126000939824de3e6a70c7e827d3","ord_c8cd58c5ea1c6d64c371fe1a166a53a0a7df5c7d8edba649ad23b5ce051672ab",,"PROD",,,"1.0000000000","2.000000","2.0000000000","2.5000000000","0.5000000000",,"False","2026-03-25T13:21:31.0000000","2","LI00379230"
"li_91074a666228c75892a943a87abcf832b38808910680873b098a9dc3fd19ae0a","ord_c8cd58c5ea1c6d64c371fe1a166a53a0a7df5c7d8edba649ad23b5ce051672ab",,"PROD",,,"1.0000000000","10.400000","10.4000000000","13.0000000000","2.6000000000",,"False","2026-03-25T13:21:31.0000000","3","LI00379231"
"li_e4d497a09ff16f69be64f1977bacea27e69c53ceb525ac108a5fcfb1f1d40ffe","ord_c8cd58c5ea1c6d64c371fe1a166a53a0a7df5c7d8edba649ad23b5ce051672ab",,"MOD",,,"1.0000000000","0.800000","0.8000000000","1.0000000000","0.2000000000",,"False","2026-03-25T13:21:31.0000000","4","LI00379232"
"li_04db6552a50c80780f6d033c331f08d8279b19af8ce2ea70a1599b064b5c9e42","ord_6e93ae2b2dc6439088fcd74854d3434b521a1d8433bd7e4042846b273918d8d6",,"PROD",,,"1.0000000000","2.800000","2.8000000000","3.5000000000","0.7000000000",,"False","2026-03-25T13:28:27.0000000","1","LI00379173"
"li_c02c57382f85d34f66cfaf50928f4faa0cfb121784c0c34a385857c89a5ba988","ord_6e93ae2b2dc6439088fcd74854d3434b521a1d8433bd7e4042846b273918d8d6",,"PROD",,,"1.0000000000","12.800000","12.8000000000","16.0000000000","3.2000000000",,"False","2026-03-25T13:28:27.0000000","2","LI00379174"
"li_dd75e06ffef5791e37534d6f8d04b761a4aa2e525941537c36b0ab614e6ef32d","ord_6e93ae2b2dc6439088fcd74854d3434b521a1d8433bd7e4042846b273918d8d6",,"PROD",,,"1.0000000000","9.200000","9.2000000000","11.5000000000","2.3000000000",,"False","2026-03-25T13:28:27.0000000","3","LI00379175"
"li_f7b900ef4675a72c47a1b728cdbfdd0e8de48474461ed0138f78881bcff050a9","ord_93ac1bbe4041d2cacd174861aaa60c2c0f22d5a45e49c774006e9f6848a01ee7",,"PROD",,,"1.0000000000","2.000000","2.0000000000","2.5000000000","0.5000000000",,"False","2026-03-25T13:32:24.0000000","1","LI00379418"
"li_2e798eee28c61633fef569a6ad0cb90b45c9e885d43dea22302ab9b75fffff28","ord_93ac1bbe4041d2cacd174861aaa60c2c0f22d5a45e49c774006e9f6848a01ee7",,"PROD",,,"1.0000000000","4.800000","4.8000000000","6.0000000000","1.2000000000",,"False","2026-03-25T13:32:24.0000000","2","LI00379419"
"li_124dcdfba103e67d7567cbf0d8e93f93172820f20bdf34502ffad167f2e55e04","ord_93ac1bbe4041d2cacd174861aaa60c2c0f22d5a45e49c774006e9f6848a01ee7",,"PROD",,,"1.0000000000","13.600000","13.6000000000","17.0000000000","3.4000000000",,"False","2026-03-25T13:32:24.0000000","3","LI00379420"
