"id","name","category_id","category_name","sales_price","cost_price","currency","is_active","updated_at"
"PROD033","Halloumi Burger","CAT_BURG","Burgers","13.0000000000","1.5340000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD003","Halloumi Fries","CAT_START","Starters","7.5000000000","0.8910000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD070","House Red","CAT_WINE","Wine & Beer","6.5000000000","0.7875000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD072","House Ros├⌐","CAT_WINE","Wine & Beer","6.5000000000","0.7350000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD036","House Salad","CAT_SIDE","Sides","4.0000000000","0.3750000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD071","House White","CAT_WINE","Wine & Beer","6.5000000000","0.7350000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD074","IPA","CAT_WINE","Wine & Beer","5.5000000000","1.5904000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD075","Lager","CAT_WINE","Wine & Beer","5.0000000000","1.2496000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD031","Lamb Burger","CAT_BURG","Burgers","14.0000000000","1.9200000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD015","Lamb Shank","CAT_MAIN","Mains","19.5000000000","3.6100000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD052","Lemonade","CAT_SOFT","Soft Drinks","3.0000000000","0.0840000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD040","Mac & Cheese","CAT_SIDE","Sides","5.0000000000","0.9840000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD061","Margarita","CAT_CKTL","Cocktails","10.5000000000","1.0486000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD080","Merlot","CAT_WINE","Wine & Beer","7.0000000000","0.7875000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD064","Mojito","CAT_CKTL","Cocktails","10.5000000000","0.8840000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD014","Mushroom Risotto","CAT_MAIN","Mains","13.5000000000","1.8750000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD065","Negroni","CAT_CKTL","Cocktails","11.0000000000","1.0775000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD027","Oak & Vine Burger","CAT_BURG","Burgers","15.5000000000","2.1300000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD062","Old Fashioned","CAT_CKTL","Cocktails","11.5000000000","1.2085000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD037","Onion Rings","CAT_SIDE","Sides","4.5000000000","0.3760000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD009","P├ót├⌐ & Toast","CAT_START","Starters","7.5000000000","2.0040000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD077","Pale Ale","CAT_WINE","Wine & Beer","5.5000000000","1.5336000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD049","Panna Cotta","CAT_DESS","Desserts","7.0000000000","0.9860000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD067","Pi├▒a Colada","CAT_CKTL","Cocktails","10.5000000000","1.2060000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD029","Plant Burger","CAT_BURG","Burgers","13.0000000000","2.4140000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD017","Pork Belly","CAT_MAIN","Mains","17.0000000000","1.8310000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD066","Pornstar Martini","CAT_CKTL","Cocktails","11.5000000000","1.4200000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD002","Prawn Cocktail","CAT_START","Starters","8.5000000000","1.7930000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD023","Prawn Linguine","CAT_MAIN","Mains","15.5000000000","2.2980000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD073","Prosecco","CAT_WINE","Wine & Beer","7.5000000000","0.6250000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD028","Pulled Pork Burger","CAT_BURG","Burgers","14.5000000000","1.5565000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD079","Sauvignon Blanc","CAT_WINE","Wine & Beer","7.5000000000","0.7350000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD006","Scotch Egg","CAT_START","Starters","7.5000000000","1.3650000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD016","Sea Bass Fillet","CAT_MAIN","Mains","18.0000000000","3.1600000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD041","Seasonal Veg","CAT_SIDE","Sides","4.5000000000","0.4990000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD045","Sorbet Trio","CAT_DESS","Desserts","6.0000000000","1.1200000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD001","Soup of the Day","CAT_START","Starters","6.5000000000","0.6550000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD053","Sparkling Water","CAT_SOFT","Soft Drinks","2.5000000000","0.0018000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD019","Steak & Ale Pie","CAT_MAIN","Mains","15.0000000000","1.6960000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD042","Sticky Toffee Pudding","CAT_DESS","Desserts","7.5000000000","0.8570000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD054","Still Water","CAT_SOFT","Soft Drinks","2.5000000000","0.0018000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD076","Stout","CAT_WINE","Wine & Beer","5.5000000000","1.4768000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD035","Sweet Potato Fries","CAT_SIDE","Sides","4.5000000000","0.3444000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD021","Veggie Tagine","CAT_MAIN","Mains","13.0000000000","1.1300000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD059","Virgin Mojito","CAT_SOFT","Soft Drinks","4.5000000000","0.3340000000","GBP","True","2025-09-30T00:00:00.0000000"
"PROD068","Whisky Sour","CAT_CKTL","Cocktails","11.0000000000","1.4940000000","GBP","True","2025-09-30T00:00:00.0000000"
